"","TimeofDay","AirTemp","Humidity","Dewpoint","BarPres","WindSpeed","SolarRad"
"75",1845,13.43,38.95,-0.25,102.82,0.813,4.17
"76",1900,13.16,40.46,0.03,102.81,0.647,4.17
"77",1915,12.7,42.17,0.18,102.81,0.481,4.17
"78",1930,14.08,32.25,-2.27,102.83,0.971,4.17
"79",1945,14.35,31.56,-2.3,102.84,0.729,4.17
"80",2000,13.29,40.36,0.05,102.83,0.447,4.17
"81",2015,11.8,46.47,0.69,102.82,0.526,4.17
"82",2030,11.15,50.44,1.26,102.79,0.55,4.17
"83",2045,11,47.8,0.36,102.79,0.517,4.17
"84",2100,10.82,50.41,0.95,102.8,0.508,4.17
"85",2115,10.96,46.41,-0.09,102.8,0.461,4.17
"86",2130,10.65,47.52,-0.04,102.8,0.471,4.17
"87",2145,9.7,52.31,0.41,102.79,0.447,4.16
"88",2200,9.81,50.2,-0.06,102.76,0.575,4.17
"89",2215,10.52,44.29,-1.14,102.76,0.51,4.15
"90",2230,12.47,38.85,-1.14,102.76,0.622,4.14
"91",2245,11.55,42.2,-0.85,102.75,0.503,4.15
"92",2300,12.76,37.62,-1.34,102.77,1.309,4.15
"93",2315,12.89,37.11,-1.39,102.75,1.007,4.16
"94",2330,12.96,36.75,-1.48,102.74,1.064,4.15
"95",2345,12.93,37.26,-1.31,102.71,0.909,4.16
"96",2400,12.47,38.86,-1.14,102.69,1,4.16
"97",15,12.92,37.27,-1.31,102.67,1.193,4.16
"98",30,12.74,38.48,-1.04,102.66,1.164,4.16
"99",45,13.03,37.57,-1.12,102.64,1.324,4.15
"100",100,12.92,38.14,-1,102.64,1.387,4.16
"101",115,13.05,36.99,-1.31,102.63,1.258,4.16
"102",130,12.97,37.11,-1.34,102.63,1.322,4.14
"103",145,12.98,37.39,-1.21,102.61,1.352,4.16
"104",200,13.2,36.42,-1.39,102.61,1.278,4.16
"105",215,13.43,35.39,-1.56,102.63,1.164,4.16
"106",230,13.26,36.89,-1.17,102.65,1.401,4.17
"107",245,12.98,36.94,-1.39,102.63,0.68,4.16
"108",300,13.06,35.09,-2.02,102.62,0.777,4.14
"109",315,13.16,35.08,-1.94,102.61,1.2,4.12
"110",330,12.75,37.01,-1.56,102.6,1.342,4.12
"111",345,12.33,38.49,-1.41,102.61,1.226,4.14
"112",400,12.36,37.91,-1.58,102.6,1.011,4.13
"113",415,11.05,44.18,-0.69,102.58,0.68,4.1
"114",430,11.5,41.59,-1.09,102.57,1.331,4.11
"115",445,11.67,40.98,-1.14,102.55,0.952,4.15
"116",500,11.6,40.93,-1.21,102.55,0.889,4.13
"117",515,11.73,40.37,-1.29,102.54,0.82,4.15
"118",530,11.79,40.52,-1.19,102.53,0.939,4.13
"119",545,11.45,42.63,-0.83,102.54,0.957,4.14
"120",600,10.82,45.4,-0.5,102.53,0.997,4.14
"121",615,11.23,45.44,-0.13,102.52,1.115,4.13
"122",630,11.13,47.78,0.47,102.52,1.031,4.14
"123",645,11.06,49.92,1.01,102.54,1.696,4.15
"124",700,11.37,51.15,1.65,102.56,1.787,4.16
"125",715,11.61,50.46,1.67,102.56,1.657,4.17
"126",730,11.32,51.45,1.67,102.57,1.502,4.17
"127",745,9.84,59.51,2.33,102.57,1.162,5.39
"128",800,8.71,64.15,2.31,102.59,1.203,14.86
"129",815,8.36,64.31,2.03,102.59,0.993,19.32
"130",830,8.07,66.01,2.11,102.6,1.038,42.76
"131",845,8.08,67.07,2.35,102.62,1.121,129.9
"132",900,9.72,60.67,2.48,102.63,1.206,184.2
"133",915,11.36,53.39,2.23,102.63,1.797,253.6
"134",930,12.82,49.85,2.62,102.62,2.507,293.5
"135",945,14.09,49.97,3.83,102.62,2.937,319.9
"136",1000,15.33,48.06,4.4,102.63,3.888,413.3
"137",1015,16.02,46.67,4.62,102.63,3.811,426.2
"138",1030,16.87,45.12,4.91,102.62,4.064,422.2
"139",1045,17.15,45.21,5.2,102.62,3.864,389.3
"140",1100,17.22,46.49,5.67,102.63,3.832,303.2
"141",1115,17.06,51.47,7,102.62,4.059,252.7
"142",1130,16.98,59.86,9.15,102.6,4.403,263.8
"143",1145,17.03,63.05,9.96,102.57,4.033,252.5
"144",1200,17.05,64.04,10.21,102.54,3.843,267.7
"145",1215,17.13,64.67,10.44,102.5,3.231,231.9
"146",1230,17.35,66.09,10.98,102.47,3.241,252.3
"147",1245,17.43,67.71,11.41,102.44,3.229,298
"148",1300,17.77,68.12,11.83,102.43,3.947,316.8
"149",1315,17.79,68.42,11.92,102.42,3.451,255.3
"150",1330,18.12,67.64,12.06,102.4,2.531,268.7
"151",1345,18.56,66.32,12.18,102.4,2.89,351.3
"152",1400,19.07,64.38,12.21,102.39,2.555,467.7
"153",1415,19,63.71,11.98,102.38,3.062,263.2
"154",1430,18.92,63.55,11.86,102.38,3.189,214.7
"155",1445,19.08,62.74,11.83,102.36,2.361,218.5
"156",1500,19.21,62.53,11.91,102.36,2.43,194.3
"157",1515,19.13,62.39,11.8,102.35,2.488,166.6
"158",1530,18.97,62.19,11.59,102.34,2.575,111.2
"159",1545,18.84,62.41,11.52,102.36,2.414,103.4
"160",1600,18.79,63,11.61,102.37,1.941,114.6
"161",1615,18.71,62.26,11.36,102.37,2.303,107.5
"162",1630,18.57,62.47,11.29,102.39,2.187,76.9
"163",1645,18.44,62.79,11.23,102.39,1.858,49.7
"164",1700,18.19,63.97,11.29,102.39,1.098,39.02
"165",1715,18.02,64.29,11.19,102.38,1.221,31.16
"166",1730,17.48,66.36,11.16,102.37,1.533,18.31
"167",1745,17.35,66.7,11.1,102.35,2.26,7.77
"168",1800,17.38,66.52,11.1,102.34,2.216,4.35
"169",1815,17.07,67.51,11.02,102.37,1.383,4.17
"170",1830,16.35,70.3,10.94,102.39,1.337,4.17
"171",1845,16.05,71.6,10.93,102.39,1.083,4.17
"172",1900,15.83,72.5,10.9,102.4,1.179,4.17
"173",1915,15.66,73.2,10.9,102.39,1.336,4.17
"174",1930,15.67,73.4,10.93,102.37,1.441,4.17
"175",1945,15.57,74.1,10.99,102.37,1.543,4.17
"176",2000,15.39,75.1,11.01,102.37,1.703,4.17
"177",2015,15.23,75.9,11.02,102.36,1.411,4.17
"178",2030,15.2,76.1,11.05,102.36,1.608,4.17
"179",2045,14.75,77.7,10.91,102.37,1.22,4.17
"180",2100,14.2,80.3,10.86,102.38,1.008,4.17
"181",2115,13.85,82.3,10.89,102.39,0.891,4.17
"182",2130,14.04,81.7,10.98,102.39,1.051,4.17
"183",2145,13.79,81.9,10.76,102.41,1.369,4.17
"184",2200,13.4,84,10.76,102.42,1.073,4.17
"185",2215,13.79,82.7,10.91,102.41,1.049,4.17
"186",2230,14.15,81.4,11.02,102.42,1.379,4.17
"187",2245,13.94,81.9,10.91,102.42,1.47,4.17
"188",2300,13.77,83.2,10.99,102.41,1.275,4.17
"189",2315,13.89,83.6,11.17,102.4,1.262,4.17
"190",2330,13.99,83.8,11.31,102.38,1.386,4.17
"191",2345,14.09,83.8,11.4,102.36,1.548,4.17
"192",2400,13.69,84.9,11.19,102.35,1.266,4.17
"193",15,12.99,87.5,10.98,102.35,1.451,4.17
"194",30,12.73,89.2,11.01,102.33,1.379,4.17
"195",45,12.74,90,11.16,102.33,1.2,4.17
"196",100,12.91,89.8,11.3,102.32,1.411,4.17
"197",115,13.11,89.7,11.47,102.31,1.275,4.17
"198",130,13.3,89.3,11.59,102.29,1.297,4.17
"199",145,13.12,89.6,11.47,102.3,1.546,4.17
"200",200,12.72,91.1,11.31,102.3,1.288,4.17
"201",215,12.76,92.1,11.53,102.29,0.995,4.17
"202",230,12.6,92.4,11.41,102.29,0.883,4.17
"203",245,12.27,93.1,11.18,102.28,0.78,4.17
"204",300,12.27,93.9,11.33,102.28,0.723,4.17
"205",315,12.19,94.3,11.31,102.28,1.115,4.17
"206",330,12.26,94.7,11.44,102.27,1.155,4.17
"207",345,12.24,94.8,11.44,102.28,1.407,4.17
"208",400,12.7,95.2,11.96,102.29,1.424,4.17
"209",415,13.26,95.3,12.55,102.28,1.631,4.17
"210",430,13.72,95.3,12.98,102.28,1.715,4.17
"211",445,14.03,95.1,13.27,102.28,2.069,4.17
"212",500,14.1,94.9,13.31,102.28,1.987,4.17
"213",515,14.06,95,13.29,102.27,1.746,4.17
"214",530,14.09,95.5,13.4,102.25,1.289,4.17
"215",545,14.14,95.9,13.51,102.26,1.31,4.17
"216",600,14.31,96.2,13.73,102.26,1.661,4.17
"217",615,14.37,96.4,13.81,102.28,1.893,4.17
"218",630,14.37,96.5,13.84,102.28,1.94,4.17
"219",645,14.34,96.6,13.82,102.29,2.127,4.17
"220",700,14.32,96.7,13.81,102.31,2.195,4.17
"221",715,14.41,96.8,13.92,102.31,1.957,4.17
"222",730,14.43,96.8,13.95,102.34,1.68,4.17
"223",745,14.46,96.9,13.99,102.35,1.49,4.42
"224",800,14.49,96.9,14.02,102.37,1.426,5.36
"225",815,14.52,96.9,14.05,102.39,1.112,8.11
"226",830,14.53,97,14.07,102.39,0.842,21.26
"227",845,14.66,97,14.2,102.39,0.867,47.45
"228",900,14.89,97,14.43,102.42,0.995,49.69
"229",915,14.96,96.9,14.49,102.45,1.128,56.87
"230",930,15.09,96.9,14.61,102.46,0.915,65.58
"231",945,15.3,96.9,14.82,102.47,0.86,64.4
"232",1000,15.37,96.7,14.86,102.5,1.237,67.35
"233",1015,15.61,96.4,15.06,102.49,1.415,145.1
"234",1030,15.93,95.5,15.22,102.5,1.774,125.3
"235",1045,16.1,93.6,15.08,102.5,1.733,146.9
"236",1100,16.52,91.1,15.08,102.49,1.814,250.3
"237",1115,17.07,88.5,15.16,102.46,2.286,306.3
"238",1130,17.58,85.6,15.15,102.45,2.259,271.8
"239",1145,17.8,84.2,15.11,102.43,2.259,263.5
"240",1200,18.22,81.5,15.01,102.4,2.879,339.8
"241",1215,18.49,78.9,14.77,102.37,3.556,411.9
"242",1230,18.9,76.1,14.61,102.35,3.419,443.8
"243",1245,18.98,75.7,14.61,102.32,2.765,409.5
"244",1300,19.57,73.1,14.64,102.31,3.499,550.6
"245",1315,19.8,71.8,14.58,102.29,3.334,448
"246",1330,20.06,70.1,14.45,102.27,3.022,426.9
"247",1345,20.55,67.75,14.4,102.24,3.401,375.8
"248",1400,20.19,68.55,14.24,102.24,3.566,225.7
"249",1415,20.19,68.87,14.31,102.23,2.897,258.4
"250",1430,20.07,69.42,14.31,102.21,2.96,189
"251",1445,19.42,72.7,14.41,102.19,2.633,121.5
"252",1500,19.03,74.7,14.45,102.19,3.371,155.9
"253",1515,19.05,75.4,14.62,102.19,2.285,149
"254",1530,18.99,75.5,14.58,102.17,2.841,134.1
"255",1545,19.03,75.6,14.63,102.16,2.338,129.7
"256",1600,19.04,75.6,14.66,102.16,2.523,144.4
"257",1615,19.12,75.3,14.66,102.16,2.204,159.1
"258",1630,19.29,74.6,14.68,102.16,2.426,109.6
"259",1645,19.09,75.3,14.63,102.16,2.101,86.5
"260",1700,19.05,75.3,14.59,102.15,2.097,67.51
"261",1715,19.13,75.3,14.69,102.14,1.791,62.39
"262",1730,18.95,75.9,14.61,102.14,2.041,31.93
"263",1745,18.61,76.9,14.49,102.14,1.709,11.74
"264",1800,18.3,78.3,14.48,102.13,1.603,4.53
"265",1815,18.06,79.6,14.48,102.13,0.927,4.17
"266",1830,17.66,81.4,14.44,102.12,1.265,4.17
"267",1845,17.16,84,14.44,102.11,1.38,4.17
"268",1900,17.29,84.6,14.68,102.12,1.285,4.17
"269",1915,16.97,85.1,14.46,102.12,0.875,4.17
"270",1930,16.64,87.3,14.54,102.12,1.05,4.17
"271",1945,16.67,88.3,14.74,102.13,0.955,4.17
"272",2000,16.62,88.6,14.74,102.14,1.23,4.17
"273",2015,16.47,90,14.85,102.12,1.179,4.17
"274",2030,16.44,90.8,14.95,102.14,1.1,4.17
"275",2045,16.42,90.8,14.92,102.14,1.247,4.17
"276",2100,16.22,91.1,14.77,102.13,1.32,4.17
"277",2115,16.32,91.8,15,102.14,1.202,4.17
"278",2130,16.48,90.8,14.99,102.14,1.498,4.17
"279",2145,16.79,89.2,15.01,102.15,1.705,4.17
"280",2200,16.87,88.4,14.96,102.16,1.633,4.17
"281",2215,16.76,88.3,14.82,102.18,1.539,4.17
"282",2230,16.58,88.7,14.72,102.18,1.685,4.17
"283",2245,16.66,88.1,14.7,102.19,1.667,4.17
"284",2300,16.61,87.9,14.61,102.19,1.839,4.17
"285",2315,16.62,87.5,14.55,102.19,1.523,4.17
"286",2330,16.53,87.8,14.52,102.18,1.578,4.17
"287",2345,16.58,87.6,14.53,102.15,1.457,4.17
"288",2400,16.49,87.9,14.48,102.13,1.433,4.17
"289",15,16.37,88.3,14.45,102.13,1.385,4.17
"290",30,16.08,89.4,14.34,102.11,1.02,4.17
"291",45,16,90,14.36,102.12,1.595,4.17
"292",100,15.81,90.3,14.24,102.12,1.713,4.17
"293",115,15.78,90.1,14.17,102.09,1.385,4.17
"294",130,15.63,90.2,14.04,102.08,1.326,4.17
"295",145,15.42,90.1,13.82,102.08,1.399,4.17
"296",200,15.14,91.5,13.77,102.07,0.911,4.17
"297",215,15.13,92.1,13.87,102.08,0.89,4.17
"298",230,15.03,92.4,13.82,102.09,0.661,4.17
"299",245,14.89,92.9,13.77,102.1,0.748,4.17
"300",300,14.86,93.2,13.77,102.07,0.939,4.17
"301",315,14.99,91.9,13.71,102.06,1.174,4.17
"302",330,14.99,91.3,13.6,102.04,1.266,4.17
"303",345,14.91,91.4,13.54,102.05,1.543,4.17
"304",400,14.94,91.4,13.57,102.07,1.834,4.17
"305",415,15.15,90.9,13.69,102.05,1.54,4.17
"306",430,15.04,91.3,13.65,102.03,1.266,4.17
"307",445,15.06,91.3,13.66,102.04,1.749,4.17
"308",500,15.5,90,13.87,102.05,2.129,4.17
"309",515,15.99,87.4,13.91,102.05,2.416,4.17
"310",530,16.01,87,13.86,102.03,2.175,4.17
"311",545,15.95,87,13.8,102.02,2.134,4.17
"312",600,15.85,87,13.71,102.01,1.947,4.17
"313",615,15.87,86.2,13.58,102,2.035,4.17
"314",630,15.88,85.1,13.39,102,2.211,4.17
"315",645,15.86,83.9,13.16,101.99,1.773,4.17
"316",700,15.88,82.9,12.98,102.01,2.004,4.17
"317",715,15.66,83.4,12.88,102.02,1.582,4.17
"318",730,15.72,81.8,12.62,102.02,1.506,4.17
"319",745,15.67,81.5,12.53,102.03,1.344,4.75
"320",800,15.71,80.7,12.42,102.01,1.357,9.05
"321",815,15.73,80.1,12.33,102,1.48,24.69
"322",830,15.84,78.4,12.11,102.02,1.853,23.66
"323",845,15.68,80.1,12.26,102.06,1.698,32.51
"324",900,15.86,79.2,12.27,102.08,1.244,73.1
"325",915,16.17,77.8,12.29,102.12,1.477,87.9
"326",930,16.57,74.8,12.1,102.13,2.211,124.7
"327",945,16.83,73.6,12.1,102.15,2.289,117.1
"328",1000,16.83,74.2,12.23,102.17,2.109,143.8
"329",1015,16.98,75.2,12.57,102.2,1.954,155.8
"330",1030,17.21,75.1,12.77,102.22,2.115,185.9
"331",1045,17.74,74.1,13.1,102.21,2.707,248.6
"332",1100,18.58,72.5,13.56,102.19,2.663,364
"333",1115,19.18,72,14.04,102.16,2.962,347.6
"334",1130,19.29,72.4,14.23,102.13,3.058,316.5
"335",1145,19.62,72,14.46,102.1,2.747,301.9
"336",1200,19.68,71.7,14.45,102.09,2.818,368.9
"337",1215,20.35,68.26,14.32,102.09,2.915,416.6
"338",1230,20.14,67.9,14.05,102.05,3.305,327.2
"339",1245,20.47,66.98,14.14,102.01,3.403,476
"340",1300,20.13,68.73,14.22,101.99,3.446,320
"341",1315,19.71,71.4,14.41,101.99,3.372,320.3
"342",1330,19.68,72.1,14.52,101.96,3.4,419.2
"343",1345,19.64,72.2,14.5,101.93,3.62,370.3
"344",1400,19.73,71.8,14.5,101.93,3.306,388.5
"345",1415,19.85,70.5,14.33,101.91,3.704,343.9
"346",1430,20.18,69.66,14.47,101.9,3.815,355.2
"347",1445,20.06,70.4,14.53,101.88,3.221,203.8
"348",1500,20.08,70.3,14.53,101.88,3.622,209.3
"349",1515,20.16,70.1,14.57,101.87,3.632,162.1
"350",1530,20.13,70.2,14.54,101.87,3.431,147.8
"351",1545,20.35,69.73,14.66,101.87,2.87,210.8
"352",1600,21.09,66.78,14.69,101.88,3.068,287.4
"353",1615,21.01,66.82,14.62,101.88,2.737,171.1
"354",1630,20.92,67.61,14.73,101.87,3.761,145.4
"355",1645,20.62,69.13,14.77,101.84,3.16,93.9
"356",1700,20.32,70.4,14.78,101.82,3.207,56.47
"357",1715,20.14,71.4,14.82,101.83,2.802,47.2
"358",1730,19.83,73.2,14.91,101.84,2.545,17.41
"359",1745,19.5,75.3,15.03,101.87,2.633,7.63
"360",1800,19.25,76.9,15.11,101.87,2.043,4.33
"361",1815,18.93,78.6,15.14,101.86,1.515,4.17
"362",1830,18.6,80.2,15.13,101.83,1.223,4.17
"363",1845,18.29,81.7,15.13,101.84,0.989,4.17
"364",1900,17.96,83.6,15.16,101.84,0.957,4.17
"365",1915,17.81,84.2,15.13,101.84,0.923,4.17
"366",1930,17.66,85.4,15.19,101.83,1.011,4.17
"367",1945,17.59,85.7,15.17,101.84,1.139,4.17
"368",2000,17.75,85.6,15.31,101.82,1.139,4.17
"369",2015,18.04,84.6,15.41,101.82,1.505,4.17
"370",2030,18.01,84.8,15.43,101.82,1.456,4.17
"371",2045,18.06,84.7,15.46,101.8,1.691,4.17
"372",2100,18.08,84.3,15.41,101.77,2.094,4.17
"373",2115,18.12,83.5,15.3,101.77,2.149,4.17
"374",2130,18.1,83.5,15.28,101.76,2.631,4.17
"375",2145,18.12,83.2,15.24,101.74,2.631,4.17
"376",2200,18.2,82.8,15.24,101.75,2.557,4.17
"377",2215,18.22,83,15.3,101.76,2.687,4.17
"378",2230,18.53,82.4,15.48,101.75,2.63,4.17
"379",2245,18.75,82.5,15.73,101.75,3.374,4.17
"380",2300,18.89,83.1,15.97,101.74,3.617,4.17
"381",2315,18.69,84.6,16.06,101.72,3.454,4.17
"382",2330,18.58,85.6,16.14,101.72,3.73,4.17
"383",2345,18.53,86.4,16.23,101.73,3.851,4.17
"384",2400,18.45,87,16.26,101.71,3.359,4.17
"385",15,18.45,87.3,16.32,101.7,3.506,4.17
"386",30,18.39,87.9,16.36,101.67,3.03,4.17
"387",45,18.46,88.1,16.46,101.66,3.53,4.17
"388",100,18.52,87.9,16.49,101.64,3.597,4.17
"389",115,18.6,87.7,16.54,101.65,3.638,4.17
"390",130,18.71,87.2,16.56,101.65,3.777,4.17
"391",145,18.7,87.2,16.55,101.65,3.698,4.17
"392",200,18.73,87.1,16.55,101.66,3.627,4.17
"393",215,18.73,86.7,16.48,101.66,4.005,4.17
"394",230,18.8,86,16.42,101.67,4.1,4.17
"395",245,18.85,85.4,16.36,101.66,4.199,4.17
"396",300,18.82,84.8,16.22,101.65,4.023,4.17
"397",315,18.62,85.6,16.18,101.65,3.686,4.17
"398",330,18.48,86.3,16.15,101.64,3.239,4.17
"399",345,18.42,86.5,16.14,101.63,3.675,4.17
"400",400,18.28,87.2,16.13,101.63,3.011,4.17
"401",415,18.16,88.2,16.2,101.62,2.823,4.17
"402",430,18.23,88.4,16.3,101.6,2.751,4.17
"403",445,18.34,88.4,16.4,101.6,2.708,4.17
"404",500,18.36,88.6,16.46,101.6,2.703,4.17
"405",515,18.4,88.7,16.51,101.6,3.203,4.17
"406",530,18.54,88.2,16.56,101.6,3.564,4.17
"407",545,18.62,87.9,16.6,101.6,3.173,4.17
"408",600,18.59,88.3,16.62,101.6,2.857,4.17
"409",615,18.5,88.7,16.62,101.58,3.094,4.17
"410",630,18.54,88.4,16.59,101.57,2.929,4.17
"411",645,18.37,89,16.54,101.56,2.433,4.17
"412",700,18.28,89.5,16.53,101.56,2.437,4.17
"413",715,18.31,89.4,16.55,101.55,2.408,4.17
"414",730,18.28,89.4,16.51,101.56,2.319,4.17
"415",745,18.3,89.3,16.52,101.59,2.7,4.84
"416",800,18.46,88.9,16.61,101.59,2.966,14.77
"417",815,18.75,87.6,16.66,101.59,3.541,31.7
"418",830,19.06,86.3,16.72,101.61,3.598,44.48
"419",845,19.24,85.7,16.81,101.61,3.553,57.67
"420",900,19.53,85,16.96,101.64,3.329,142
"421",915,19.79,83.7,16.97,101.7,4.5,58.97
"422",930,19.89,83.2,16.99,101.68,4.108,157.8
"423",945,20.44,79.8,16.85,101.61,4.615,188.8
"424",1000,20.52,79,16.78,101.67,4.691,121.2
"425",1015,20.68,77.5,16.62,101.68,5.313,157.2
"426",1030,21.06,74.8,16.44,101.67,4.995,273
"427",1045,21.54,71.6,16.22,101.67,5.782,464.8
"428",1100,21.69,69.96,15.99,101.66,5.779,239.9
"429",1115,21.2,70.8,15.72,101.65,6.634,186.7
"430",1130,21.16,71.3,15.77,101.63,5.613,106
"431",1145,21.14,71.4,15.78,101.62,4.87,135.1
"432",1200,21.19,70.4,15.62,101.6,6.06,83
"433",1215,21.16,70.4,15.58,101.59,6.142,131.8
"434",1230,21.14,70.9,15.67,101.57,5.275,79.7
"435",1245,21.1,71.1,15.68,101.56,5.739,46.34
"436",1300,20.57,75.3,16.06,101.55,5.108,50.72
"437",1315,19.94,79.9,16.37,101.54,5.265,47.12
"438",1330,19.08,86.4,16.78,101.52,3.862,50.77
"439",1345,17.42,88.3,15.52,101.54,3.62,33.09
"440",1400,14.4,91,12.96,101.58,3.795,29.6
"441",1415,13.95,92.5,12.77,101.61,2.631,24.82
"442",1430,13.72,93.5,12.71,101.57,2.726,77.8
"443",1445,13.78,94,12.84,101.62,2.765,68.59
"444",1500,13.67,94.3,12.78,101.59,2.152,111.3
"445",1515,13.74,94.3,12.86,101.62,2.385,56.94
"446",1530,13.58,94.4,12.71,101.64,2.663,35.05
"447",1545,13.4,94.5,12.55,101.65,2.718,18.35
"448",1600,13.46,94.8,12.65,101.68,2.383,59.99
"449",1615,13.37,94.8,12.56,101.68,2.242,34.15
"450",1630,13.36,94.7,12.55,101.69,2.152,18.61
"451",1645,13.07,94.9,12.27,101.74,3.322,12.77
"452",1700,12.66,95,11.9,101.74,2.819,17.77
"453",1715,12.59,95.2,11.86,101.79,2.828,6.6
"454",1730,12.4,95.2,11.68,101.82,3.549,5.11
"455",1745,12.19,94,11.26,101.81,3.746,4.29
"456",1800,11.98,92.9,10.87,101.86,3.843,4.17
"457",1815,11.71,92.9,10.62,101.91,4.546,4.17
"458",1830,11.45,93,10.37,101.85,3.611,4.17
"459",1845,11.35,93.5,10.35,101.87,3.445,4.17
"460",1900,11.14,93.8,10.2,101.93,3.415,4.17
"461",1915,10.62,92.6,9.49,101.91,3.829,4.17
"462",1930,9.83,90.6,8.37,101.93,4.293,4.17
"463",1945,9.25,89.4,7.6,101.95,4.06,4.17
"464",2000,8.81,88.7,7.05,101.98,4.357,4.17
"465",2015,8.24,87.3,6.26,101.98,4.315,4.17
"466",2030,7.73,87,5.72,102,4.048,4.17
"467",2045,7.05,86.6,4.97,102.02,4.444,4.17
"468",2100,6.564,84.9,4.21,102.05,4.221,4.16
"469",2115,6.291,84.1,3.81,102.07,4.057,4.16
"470",2130,6.051,84.2,3.58,102.07,3.921,4.15
"471",2145,5.772,84,3.29,102.09,3.889,4.16
